Metric,FY '09,FY '10,FY '11,FY '12,FY '13,FY '14,FY '15,FY '16,FY '17,FY '18
NET OPERATING REVENUES,30990.0,35119.0,46542.0,48017.0,46854.0,45998.0,44294.0,41863.0,35410,31856
Cost of goods sold,11088.0,12693.0,18215.0,19053.0,18421.0,17889.0,17482.0,16465.0,13255,11770
Gross Profit,19902.0,22426.0,28327.0,28964.0,28433.0,28109.0,26812.0,25398.0,22155,20086
"Selling, general and administrative expenses",11358.0,13194.0,17422.0,17738.0,17310.0,17218.0,16427.0,15262.0,12654,10307
Other operating charges,313.0,819.0,732.0,447.0,895.0,1183.0,1657.0,1510.0,1902,1079
Operating Income,8231.0,8413.0,10173.0,10779.0,10228.0,9708.0,8728.0,8626.0,7599,8700
Interest income,249.0,317.0,483.0,471.0,534.0,594.0,613.0,642.0,677,682
Interest expense,355.0,733.0,417.0,397.0,463.0,483.0,856.0,733.0,841,919
Equity income (loss) - net,781.0,1025.0,690.0,819.0,602.0,769.0,489.0,835.0,1071,1008
Other income (loss) - net,40.0,5185.0,529.0,137.0,576.0,-1263.0,631.0,-1234.0,-1764,-1121
Income before income taxes,8946.0,14207.0,11458.0,11809.0,11477.0,9325.0,9605.0,8136.0,6742,8350
Income taxes,2040.0,2370.0,2812.0,2723.0,2851.0,2201.0,2239.0,1586.0,5560,1623
CONSOLIDATED NET INCOME,6906.0,11837.0,8646.0,9086.0,8626.0,7124.0,7366.0,6550.0,1283,6476
Less: Net income attributable to noncontrolling interests,82.0,50.0,62.0,67.0,42.0,26.0,15.0,23.0,35,42
Net income from continuing operations,,,,,,,7366.0,6550.0,1182,6727
"Income (Loss) from Discontinued Operations, Net of Tax, Including Portion Attributable to Noncontrolling Interest",,,,,,,,,101,-251
NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,6824.0,11787.0,8584.0,9019.0,8584.0,7098.0,7351.0,6527.0,1248,6434
